Video Id,Description,Hashtags,Author Id,Author,Author Nickname,Author Verified,Sound ID,Sound Name,Sound Artist,Sound OriginalPlay Count,Share Count,Comment Count,Play Address,Sound Url
6958812926757195013,😂Wait for the SUS + @khaby.lame @doyoulikepo #بابجی_موبایل #ببجي #foryou #foryoupage #pubg #pubgmobile #sus #italy #khabylame,"بابجی_موبایل, ببجي, foryou, foryoupage, pubg, PUBGMOBILE, sus, italy, khabylame",6537950729959642127,mabro_gaming,👑M A B R O🔥,False,6949286636307942146,HEPİNİZİ MUCK,Mami,True,96500000,32200,28400,https://v16-webapp.tiktok.com/c6613e40755221b0becaf38445046a36/632009e3/video/tos/useast2a/tos-useast2a-ve-0068c004/79d11f112352427188c5c374567cd1f3/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3762&bt=1881&cs=0&ds=3&ft=eXd.6HHoMyq8Z37Xrhe2NPTELl7Gb&mime_type=video_mp4&qs=0&rc=ZTRnNDplNzk4NTk2PGY8O0BpMzp5b29qNHZkNTMzNzczM0BiMDFiM2IzXmAxMjNjX15jYSNfamQvZDRkajZgLS1kMTZzcw%3D%3D&l=2022091222405401021402017106DE0DE1&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6949286502828460801.mp3
6850084117799881990,Only later I realized how many people stared at me😂#sport#trend#perte#fyp#tiktok#iceskating#libertycity#italy#mangiosano#imparacontiktok#viral,"sport, trend, perte, fyp, tiktok, iceskating, libertycity, italy, mangiosano, imparacontiktok, viral",94646050900066304,ilar.yy,🦋ilaria dentella🦋,False,6807639165665019906,Break My Heart,Dua Lipa,False,21900000,12100,13900,https://v16-webapp.tiktok.com/e2f7d68b42f23209751dab90df7e22d2/632009df/video/tos/useast2a/tos-useast2a-pve-0068/b5e54db0f14e42158d2f5783b9f31a66/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3626&bt=1813&cs=0&ds=3&ft=eXd.6HHoMyq8Z37Xrhe2NELeyl7Gb&mime_type=video_mp4&qs=0&rc=NmdlMzlpOGg8ZGY2OWY3NEBpamhwbHQ2M2c5djMzZTczM0BeYTIvMjMzXzMxXjRiMWJgYSNkMS01cC9rMzVfLS02MTZzcw%3D%3D&l=2022091222405401021713502803D55994&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/4e885ec3c6374ab6a07d1466928d918c
6597678010734742789,PARIS 🇫🇷❤️ #shuffeldance #dance #Italy #paris,"shuffeldance, dance, italy, paris, timemachinereaction, foru",81771243925807104,lucianospinelli,Luciano Spinelli,True,6562726898332338949,Cartier (feat. Chivv & 3robi),Dopebwoy,False,34300000,70300,16500,https://v16-webapp.tiktok.com/5cc9d613831dcc1667f70627c663d9a1/632009e6/video/tos/maliva/tos-maliva-ve-0068c800-us/d108b4095f2a4ab0a8923b6e4f793b36/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2238&bt=1119&cs=0&ds=3&ft=eXd.6HHoMyq8ZS7Xrhe2NNJwyl7Gb&mime_type=video_mp4&qs=0&rc=PDU6N2g3ZzY1OmY3ZDpoNkBpamw8bXA5a2R0aDMzZzczM0A2NGA0MC5gNi4xMGMxLi9iYSNxaWoyY2xrZjRfLS0yMTZzcw%3D%3D&l=2022091222405501019215923827E0342A&btag=80000,
6993387571887738118,Pt. 1 of 3. Check the result! The real backstage 😍 Who guess the city? Chi indovina dove sono?  #italy #italia,"italy, italia, 攝影技巧",6610100781926711302,faffapix,Faffapix,True,6594989241749474050,Bad Boy,Tungevaag & Raaban,False,79100000,2710,3478,https://v16-webapp.tiktok.com/7eca28b756513830cfe9eaac794b2661/632009e5/video/tos/useast2a/tos-useast2a-ve-0068c001/1db7a3d5ad684fcdb9c5455900cfb6df/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=1824&bt=912&cs=0&ds=3&ft=eXd.6HHoMyq8ZS7Xrhe2NhpAol7Gb&mime_type=video_mp4&qs=0&rc=MzY0Zzc7Z2dpNjg8ZzxmZEBpajpwNGk6ZmxyNzMzNzczM0A2YTYzNmAzNl4xXl9iYTReYSNpZmdvcjRnLjNgLS1kMTZzcw%3D%3D&l=2022091222405501022306503600E190E6&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/c92138f37765414eafe87f5e93966576
7125080566407646470,"Encuentro espontaneo de musicos en aeropuerto de Roma, Italia. #italy #violin #piano #yiruma #idiomauniversal #musica #music #fyp #parati #viral #viajeros #viaje #aeropuerto #airport #moment #espontaneo #encuentro #itali #riverflowsinyou","italy, violin, piano, yiruma, idiomauniversal, musica, music, fyp, parati, viral, viajeros, viaje, aeropuerto, airport, moment, espontaneo, encuentro, itali, riverflowsinyou",6806320254832198662,pierovittori,Piero Vittori Locatelli,False,7125080561844046598,sonido original,Piero Vittori Locatelli,True,22300000,17500,14400,https://v16-webapp.tiktok.com/fa7895a6173abe4120e2ae93f4bdc134/63200a01/video/tos/useast2a/tos-useast2a-ve-0068c002/c71cb128efd14754ade517c454b26095/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2608&bt=1304&cs=0&ds=3&ft=eXd.6HHoMyq8ZC7Xrhe2NLg3yl7Gb&mime_type=video_mp4&qs=0&rc=aDZmM2hlNzw4PDk3ZDo1N0BpM2hqeDY6Zm1vZTMzNzczM0AuMGEvXy1gXzMxLy8vMDAuYSNoNGkxcjRfcWRgLS1kMTZzcw%3D%3D&l=2022091222405601019215923827E03463&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/7125080580237789957.mp3
6992400715712875781,she’s okay she got ice cream after #fyp #italy #SummerMashup,"fyp, italy, SummerMashup",6780902047337268229,landinwinter1,LANDIN,False,6992400499358092037,original sound,LANDIN,True,53300000,175000,121300,https://v16-webapp.tiktok.com/c399263f023ecf4f6aba737216a0d410/632009fe/video/tos/useast2a/tos-useast2a-ve-0068c003/abdd8fb776834146b1c9c760ee62ad7a/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3400&bt=1700&cs=0&ds=3&ft=eXd.6HHoMyq8ZC7Xrhe2Na1Tyl7Gb&mime_type=video_mp4&qs=0&rc=Z2Q6Z2hnZzw0Zjw4MzVmZkBpajhrdzs6Zm15NzMzNzczM0A0Mi5jXjAuNWExNmBhLTEzYSMuZXBwcjRvcjFgLS1kMTZzcw%3D%3D&l=2022091222405601021402017106DE0EBA&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/6992400623752825605.mp3
6969690450957520134,I love being in Milan so much. The best night in Italy ✨ #fyp #foryou #italy #food #ravioliravioligivemetheformuoli,"fyp, foryou, italy, food, ravioliravioligivemetheformuoli",6788842561856373765,seline2499,Seline,False,6755992488349009922,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,False,15700000,31100,14000,https://v16-webapp.tiktok.com/3dc0bb150baf1a830937000299053990/632009e7/video/tos/alisg/tos-alisg-pve-0037c001/c9980083e3374a8787c8c9191b58b25c/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2742&bt=1371&cs=0&ds=3&ft=eXd.6HHoMyq8ZC7Xrhe2N~_ELl7Gb&mime_type=video_mp4&qs=0&rc=ZWQ6PGQ6Z2lpZjpnNjM5ZkBpanA5c21mbzVvNTMzODczM0AuXjE0NDRjNmAxL2A0Ml80YSNpYWpuMTBlLnBgLS1kMTRzcw%3D%3D&l=2022091222405601021713502803D55A5B&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/6f5e9ab50b56428b94bfd4260aabb008
6786653021930556677,More behind the scenes from #6underground on Netflix #parkour #benhardy #stunt #italy #storror #duomo #firenze,"6underground, parkour, benhardy, stunt, italy, storror, duomo, firenze",6753971341853066245,storrordrew,DREW STORROR,False,6786649423368686342,original sound,DREW STORROR,True,20100000,26500,5585,https://v16-webapp.tiktok.com/431a73d43a0ab30e522b5e3f4bd9c991/632009fa/video/tos/useast2a/tos-useast2a-ve-0068c002/320456d11dee4256b9179ffe62793462/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2838&bt=1419&cs=0&ds=3&ft=eXd.6HHoMyq8Z07Xrhe2NfLoyl7Gb&mime_type=video_mp4&qs=0&rc=aDk7ZWc0OjQ3ZzdoZTw1Z0BpM2UzanV1bXNqcjMzNTczM0AxMzYxNjReNV4xMy9fYDQtYSNeaWFgbG5eZWtfLS0vMTZzcw%3D%3D&l=2022091222405701021701907619DBAE59&btag=80000,https://sf16-ies-music-va.tiktokcdn.com/obj/musically-maliva-obj/1656896863070246.mp3
6898771520257084674,Backstage! #tutorial on new #trend Christmas atmosphere🎄 Natale!! Do you want to see the result?😍 #perte #foryou #italy #fyp #bts #tuto #4u #usa,"tutorial, trend, perte, foryou, italy, fyp, bts, tuto, 4u, usa",221059387375824896,paky__official,🔥Paky🔥,False,6898771533742148353,suono originale,🔥Paky🔥,True,39400000,2134,2264,https://v16-webapp.tiktok.com/a9ece969d7ab875a18794af0aa5ef011/632009fe/video/tos/alisg/tos-alisg-pve-0037c001/6c271bc687b64cb88bcb554c838d6fc7/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=2198&bt=1099&cs=0&ds=3&ft=eXd.6HHoMyq8Z07Xrhe2NEfWyl7Gb&mime_type=video_mp4&qs=0&rc=Z2c6NzplOzQ6M2U1aTtlM0BpanJkcnZxOjZveDMzaTczM0BiNV42XzI1NTIxLmBiYmEtYSNuXl5qL2pibHJfLS1iMTRzcw%3D%3D&l=2022091222405701021402017106DE0F41&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tiktok-obj/6898771475319343874.mp3
6979289141599112453,Original video by @icyfrenchy #lionfieldmusic #italian #france #french #italy,"lionfieldmusic, italian, france, french, italy",6783784607486821381,lionfieldmusic,lionfield,False,69027124,La Vie en rose,Edith Piaf,False,28100000,38600,26600,https://v16-webapp.tiktok.com/13308bfb6168f1f8c9f52716756437b4/632009e3/video/tos/useast2a/tos-useast2a-ve-0068c001/4de8076c5cdf4e3c894bde42e3ee42b9/?a=1988&ch=0&cr=0&dr=0&lr=tiktok_m&cd=0%7C0%7C1%7C0&cv=1&br=3106&bt=1553&cs=0&ds=3&ft=eXd.6HHoMyq8Zb7Xrhe2N0rELl7Gb&mime_type=video_mp4&qs=0&rc=M2ZmZmg8aTs8NThoNTU4OkBpajU1O3VzZ2dwNjMzNzczM0AwL2IzLjBiNS4xLV5iMmBiYSM1MWBhNHJhaGFgLS1kMTZzcw%3D%3D&l=2022091222405801021713502803D55ACF&btag=80000,https://sf16-ies-music-sg.tiktokcdn.com/obj/tos-alisg-ve-2774/f63009057abd47d294da16e424fcaabd
